,Node1,Relation,Node2
19658,mcjob,SUBJECT,labour relations
19659,mcjob,SUBJECT,words coined in the 1980s
19660,mcjob,SUBJECT,working conditions
19661,mcjob,SUBJECT,employment classifications
19662,mcjob,SUBJECT,food services occupations
19663,mcjob,SUBJECT,feminism and social class
19664,refusal of work,CLOSELY_RELATED_TO,human factors
19665,refusal of work,SUBJECT,marxist theory
19666,refusal of work,SUBJECT,post-left anarchism
19667,refusal of work,SUBJECT,refusal of work
19668,refusal of work,SUBJECT,autonomism
19669,refusal of work,SUBJECT,anarchist theory
19670,slavery,CLOSELY_RELATED_TO,human factors
19671,slavery,SUBJECT,abuse
19672,slavery,SUBJECT,crimes against humanity
19673,slavery,SUBJECT,racism
19674,slavery,SUBJECT,slave trade
19675,slavery,SUBJECT,slavery
19676,slavery,SUBJECT,social classes
19677,debt bondage,CLOSELY_RELATED_TO,human factors
19678,debt bondage,SUBJECT,slavery by type
19679,debt bondage,SUBJECT,child labour
19680,debt bondage,SUBJECT,commercial crimes
19681,debt bondage,SUBJECT,ethically disputed business practices
19682,debt bondage,SUBJECT,debt bondage
19683,human trafficking,CLOSELY_RELATED_TO,human factors
19684,human trafficking,SUBJECT,global issues
19685,human trafficking,SUBJECT,human trafficking
19686,human trafficking,SUBJECT,articles with inconsistent citation formats
19687,human trafficking,SUBJECT,crimes against humanity
19688,human trafficking,SUBJECT,human rights abuses
19689,human trafficking,SUBJECT,organized crime activity
19690,human trafficking,SUBJECT,sex crimes
19691,human trafficking,SUBJECT,violence against women
19692,human trafficking,SUBJECT,debt bondage
19693,human trafficking,SUBJECT,violence against men
19694,labor camp,CLOSELY_RELATED_TO,human factors
19695,labor camp,SUBJECT,penal imprisonment
19696,labor camp,SUBJECT,internments
19697,labor camp,SUBJECT,penal labour
19698,penal labour,CLOSELY_RELATED_TO,human factors
19699,penal labour,SUBJECT,slavery by type
19700,penal labour,SUBJECT,penal imprisonment
19701,penal labour,SUBJECT,penal labour
19702,peon,CLOSELY_RELATED_TO,human factors
19703,peon,SUBJECT,slavery by type
19704,peon,SUBJECT,labor rights
19705,peon,SUBJECT,legal terminology
19706,peon,SUBJECT,debt bondage
19707,peon,SUBJECT,slavery of native americans
19708,truck system,CLOSELY_RELATED_TO,human factors
19709,truck system,SUBJECT,payment systems
19710,truck system,SUBJECT,wages and salaries
19711,unfree labour,CLOSELY_RELATED_TO,human factors
19712,unfree labour,SUBJECT,business ethics
19713,unfree labour,SUBJECT,working conditions
19714,unfree labour,SUBJECT,unfree labour
19715,wage slavery,CLOSELY_RELATED_TO,human factors
19716,wage slavery,SUBJECT,criticism of work
19717,wage slavery,SUBJECT,marxist terminology
19718,wage slavery,SUBJECT,slavery by type
19719,wage slavery,SUBJECT,ethically disputed business practices
19720,wage slavery,SUBJECT,socialism
19721,debt bondage,CLOSELY_RELATED_TO,human factors
19722,debt bondage,SUBJECT,slavery by type
19723,debt bondage,SUBJECT,child labour
19724,debt bondage,SUBJECT,commercial crimes
19725,debt bondage,SUBJECT,ethically disputed business practices
19726,debt bondage,SUBJECT,debt bondage
19727,human trafficking,CLOSELY_RELATED_TO,human factors
19728,human trafficking,SUBJECT,global issues
19729,human trafficking,SUBJECT,human trafficking
19730,human trafficking,SUBJECT,articles with inconsistent citation formats
19731,human trafficking,SUBJECT,crimes against humanity
19732,human trafficking,SUBJECT,human rights abuses
19733,human trafficking,SUBJECT,organized crime activity
19734,human trafficking,SUBJECT,sex crimes
19735,human trafficking,SUBJECT,violence against women
19736,human trafficking,SUBJECT,debt bondage
19737,human trafficking,SUBJECT,violence against men
