,Node1,Relation,Node2
5295,man or boy test,SUBJECT,articles with example algol 60 code
5296,man or boy test,SUBJECT,compiler construction
5297,man or boy test,SUBJECT,donald knuth
5298,man or boy test,SUBJECT,programming language implementation
5299,man or boy test,SUBJECT,test items in computer languages
5300,man or boy test,SUBJECT,programming language folklore
5301,plactic monoid,SEE_ALSO,donald knuth
5302,plactic monoid,SUBJECT,combinatorics on words
5303,plactic monoid,SUBJECT,semigroup theory
5304,quater-imaginary base,SEE_ALSO,donald knuth
5305,tex,SEE_ALSO,donald knuth
5306,termial,SEE_ALSO,donald knuth
5307,termial,SUBJECT,triangles
5308,termial,SUBJECT,figurate numbers
5309,termial,SUBJECT,integer sequences
5310,termial,SUBJECT,proof without words
5311,the complexity of songs,SEE_ALSO,donald knuth
5312,the complexity of songs,SUBJECT,music theory
5313,the complexity of songs,SUBJECT,computer science papers
5314,the complexity of songs,SUBJECT,computational complexity theory
5315,the complexity of songs,SUBJECT,computer humor
5316,the complexity of songs,SUBJECT,donald knuth
5317,the complexity of songs,SUBJECT,in-jokes
5318,the complexity of songs,SUBJECT,1977 works
5319,uniform binary search,SEE_ALSO,donald knuth
5320,uniform binary search,SUBJECT,articles with example c code
5321,uniform binary search,SUBJECT,search algorithms
5322,american federation of information processing societies,CLOSELY_RELATED_TO,allen newell
5323,united states national academy of sciences,CLOSELY_RELATED_TO,allen newell
5324,american academy of arts and sciences,CLOSELY_RELATED_TO,allen newell
5325,american academy of arts and sciences,SUBJECT,learned societies
5326,american academy of arts and sciences,SUBJECT,"cambridge, massachusetts"
5327,american academy of arts and sciences,SUBJECT,1780 establishments in massachusetts
5328,american academy of arts and sciences,SUBJECT,american academy of arts and sciences
5329,american academy of arts and sciences,SUBJECT,member organizations of the american council of learned societies
5330,american academy of arts and sciences,SUBJECT,organizations established in 1780
5331,american academy of arts and sciences,SUBJECT,learned societies of the united states
5332,a. m. turing award,CLOSELY_RELATED_TO,allen newell
5333,a. m. turing award,SUBJECT,awards established in 1966
5334,a. m. turing award,SUBJECT,academic awards
5335,a. m. turing award,SUBJECT,alan turing
5336,a. m. turing award,SUBJECT,association for computing machinery
5337,a. m. turing award,SUBJECT,computer science awards
5338,a. m. turing award,SUBJECT,systems sciences awards
5339,herbert a. simon,CLOSELY_RELATED_TO,allen newell
5340,association for computing machinery,CLOSELY_RELATED_TO,allen newell
5341,association for computing machinery,SUBJECT,1947 establishments in the united states
5342,association for computing machinery,SUBJECT,association for computing machinery
5343,association for computing machinery,SUBJECT,computer-related organizations
5344,association for computing machinery,SUBJECT,computer science-related professional associations
5345,association for computing machinery,SUBJECT,computer science organizations
5346,association for computing machinery,SUBJECT,international learned societies
5347,association for computing machinery,SUBJECT,organizations established in 1947
5348,guggenheim fellowship,CLOSELY_RELATED_TO,allen newell
5349,guggenheim fellowship,SUBJECT,guggenheim fellowships
5350,guggenheim fellowship,SUBJECT,awards established in 1925
5351,john simon guggenheim memorial foundation,CLOSELY_RELATED_TO,allen newell
5352,united states national academy of engineering,CLOSELY_RELATED_TO,allen newell
5353,american association for artificial intelligence,CLOSELY_RELATED_TO,allen newell
5354,computer pioneer award,CLOSELY_RELATED_TO,allen newell
5355,ieee computer society,CLOSELY_RELATED_TO,allen newell
5356,american psychological association,CLOSELY_RELATED_TO,allen newell
5357,university of pennsylvania,CLOSELY_RELATED_TO,allen newell
5358,university of groningen,CLOSELY_RELATED_TO,allen newell
5359,university of groningen,SUBJECT,law schools
5360,university of groningen,SUBJECT,supercomputer sites
5361,university of groningen,SUBJECT,universities in the netherlands
5362,university of groningen,SUBJECT,1614 establishments in the dutch republic
5363,university of groningen,SUBJECT,buildings and structures in groningen (city)
5364,university of groningen,SUBJECT,public universities in the netherlands
5365,university of groningen,SUBJECT,educational institutions established in the 1610s
5366,university of groningen,SUBJECT,university of groningen
5367,american psychological society,CLOSELY_RELATED_TO,allen newell
5368,ieee emanuel r. piore award,CLOSELY_RELATED_TO,allen newell
5369,ieee w.r.g. baker prize paper award,CLOSELY_RELATED_TO,allen newell
5370,national medal of science,CLOSELY_RELATED_TO,allen newell
5371,national medal of science,SUBJECT,american science and technology awards
5372,national medal of science,SUBJECT,civil awards and decorations of the united states
5373,national medal of science,SUBJECT,science and technology awards
5374,national medal of science,SUBJECT,awards established in 1959
5375,the franklin institute,CLOSELY_RELATED_TO,allen newell
5376,louis e. levy medal,CLOSELY_RELATED_TO,allen newell
5377,isbn (identifier),CLOSELY_RELATED_TO,robert sedgewick (computer scientist)
